,User,Source,Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
39,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tulse Hill hit-and-run: Police release CCTV images https://t.co/nh5BV9wdbz,Fri Dec 15 10:28:50 +0000 2017,0.0,0.0,1.0,0.0,40
40,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Ever seen a lift that works like this? 🔃

https://t.co/aRh41AXYF1 https://t.co/4cdLdEqHcv",Fri Dec 15 09:44:50 +0000 2017,0.3612,0.238,0.762,0.0,41
41,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",BBC appoints Fran Unsworth as new head of news https://t.co/pvBVEEJYWK,Fri Dec 15 09:15:33 +0000 2017,0.0,0.0,1.0,0.0,42
42,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Booze calculator: What's your drinking nationality? https://t.co/amNdhk2LmX https://t.co/J3GpKFKaBp,Fri Dec 15 08:42:25 +0000 2017,0.0,0.0,1.0,0.0,43
43,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCEngland: No police were stationed inside V Festival's Chelmsford site this year because of a dispute over money, @VictoriaLIVE under…",Fri Dec 15 08:35:59 +0000 2017,-0.5994,0.0,0.776,0.224,44
44,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",The office #ChristmasParty: Good idea or bad idea? And is it right that banks are reining in spending on the Decemb… https://t.co/Uzl4ArIgoe,Fri Dec 15 08:34:12 +0000 2017,-0.1531,0.11,0.758,0.133,45
45,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @BBCBusiness: Ryanair moves towards recognising unions https://t.co/BzVfoAabIt,Fri Dec 15 08:30:38 +0000 2017,0.0,0.0,1.0,0.0,46
46,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @bbcweather: Rain has turned to #snow in places on the back (northern) edge of this front moving across southeast England. Shoeburyness…,Fri Dec 15 08:15:56 +0000 2017,0.0,0.0,1.0,0.0,47
47,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Sky and BT sign deal to share each others channels https://t.co/dDjgS6Owta,Fri Dec 15 08:08:20 +0000 2017,0.296,0.18,0.82,0.0,48
48,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @bbctms: Anderson is on the attack. Smith's half century is in sight.

Anyone wanting Overton to come back on? 

Australia 124/2

Khawaj…",Fri Dec 15 08:07:33 +0000 2017,-0.4767,0.0,0.876,0.124,49
49,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCNewsbeat: 'Youthquake' is the word of 2017, by Oxford Dictionaries.

Because young people made the biggest impact this year. 💪

http…",Fri Dec 15 08:01:39 +0000 2017,0.0,0.0,1.0,0.0,50
50,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCPolitics: 'The Brexit wing of the Tory party are very, very on edge' - @ShippersUnbound tells #Brexitcast. 🎧 Listen to podcast: http…",Fri Dec 15 07:50:34 +0000 2017,0.4019,0.119,0.881,0.0,51
51,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Almost half of under 25s 'never use a condom with a new partner' https://t.co/xbxY6spmGb,Fri Dec 15 07:19:11 +0000 2017,0.0,0.0,1.0,0.0,52
52,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Your morning briefing: #Brexit talks, Russian ‘threat’ to UK cables, Church’s apology and what drinking nationality… https://t.co/HXWWqM25nP",Fri Dec 15 07:13:39 +0000 2017,0.0516,0.07,0.93,0.0,53
53,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Parents giving children alcohol too young, researchers say https://t.co/VkCIG4DVmz",Fri Dec 15 05:33:28 +0000 2017,0.34,0.231,0.769,0.0,54
54,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Brexit vote: EU leaders set to move talks on to next stage https://t.co/iHegbB8CNE,Fri Dec 15 04:41:34 +0000 2017,0.0,0.0,1.0,0.0,55
55,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @bbcdavideades: Introducing your children to alcohol before they turn 14: responsible parenting or driving your kids to alcohol? Latest…,Fri Dec 15 04:30:38 +0000 2017,0.3182,0.108,0.892,0.0,56
56,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Church apology over Bishop George Bell abuse inquiry https://t.co/LwpV1PFEI1,Fri Dec 15 02:47:21 +0000 2017,-0.6124,0.097,0.565,0.339,57
57,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCWorld: A landmark royal commission in Australia has uncovered harrowing evidence of child sexual abuse within institutions, includin…",Fri Dec 15 02:35:35 +0000 2017,-0.5994,0.06,0.744,0.195,58
58,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",V Festival: 'No police stationed' at 2017 event https://t.co/uFsMcyBiXI,Fri Dec 15 02:18:16 +0000 2017,0.25,0.281,0.526,0.193,59
59,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Schools warned over hackable heating systems https://t.co/uthXD3dRe5,Fri Dec 15 02:18:16 +0000 2017,-0.2732,0.0,0.741,0.259,60
60,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Russia a 'risk' to undersea cables, defence chief warns https://t.co/ghm5imQaSd",Fri Dec 15 02:18:15 +0000 2017,0.0,0.143,0.714,0.143,61
61,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",'Youthquake' declared word of the year by Oxford Dictionaries https://t.co/xOKlQa7ce4,Fri Dec 15 02:18:15 +0000 2017,0.0,0.0,1.0,0.0,62
62,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Virgin Trains staff to hold 24-hour strike https://t.co/5EMIwdTKNi,Fri Dec 15 02:18:14 +0000 2017,-0.128,0.0,0.824,0.176,63
63,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",HS2 redundancy pay 'shocking waste' of taxpayer cash https://t.co/M7Wmt7NOqr,Fri Dec 15 00:09:15 +0000 2017,-0.7096,0.0,0.465,0.535,64
64,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",What Question Time made of Brexit vote defeat https://t.co/Zp01xBi4ho,Thu Dec 14 23:42:10 +0000 2017,-0.4588,0.0,0.727,0.273,65
65,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Guardian: ""Sale to Disney marks end of era for Murdoch"" #tomorrowspaperstoday #bbcpapers (via… https://t.co/yUWGygH0EY",Thu Dec 14 22:44:53 +0000 2017,0.0,0.0,1.0,0.0,66
66,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Daily Mail: ""Another human rights fiasco!"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/RJCXeQAtmK",Thu Dec 14 22:44:53 +0000 2017,0.0,0.0,1.0,0.0,67
67,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Daily Telegraph: ""A million Scots to pay more tax"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/252iZHbDvW",Thu Dec 14 22:21:31 +0000 2017,-0.1027,0.0,0.909,0.091,68
68,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Sun: ""Yule pay"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/7CwZKliQ3S",Thu Dec 14 22:21:25 +0000 2017,-0.1027,0.0,0.851,0.149,69
69,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Financial Times: ""Disney agrees $66bn deal to buy Murdoch's 21st Century Fox assets"" #tomorrowspaperstoday… https://t.co/T90kyGRMAn",Thu Dec 14 22:21:17 +0000 2017,0.3612,0.2,0.8,0.0,70
70,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Metro: ""Homeless up by 65% in 7 years"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/NIP3351s28",Thu Dec 14 22:21:03 +0000 2017,0.0,0.0,1.0,0.0,71
71,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Daily Star: ""Killer Aussie flu KOs Chrimbo"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/nbOILLmhgv",Thu Dec 14 22:20:58 +0000 2017,-0.7845,0.0,0.615,0.385,72
72,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Times: ""Judge slams police after man cleared in rape trial"" #tomorrowspaperstoday #bbcpapers (via… https://t.co/XV8Oh66xS1",Thu Dec 14 22:20:56 +0000 2017,-0.6486,0.073,0.681,0.246,73
73,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's i: ""Another defeat looming for May"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/xEyFCmM2id",Thu Dec 14 22:20:37 +0000 2017,-0.5423,0.0,0.69,0.31,74
74,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Daily Express: ""'Sack' rebel MPs and get on with Brexit"" #tomorrowspaperstoday #bbcpapers (via… https://t.co/y475CjNrdJ",Thu Dec 14 22:20:34 +0000 2017,-0.1531,0.0,0.897,0.103,75
75,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Friday's Daily Mirror: ""Mayday!"" #tomorrowspaperstoday #bbcpapers (via @BBCHelenaLee) https://t.co/6hNacAg7TG",Thu Dec 14 22:20:32 +0000 2017,0.0,0.0,1.0,0.0,76
76,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","UK must tackle loneliness, says Jo Cox Commission report https://t.co/G01WzO9Uh3",Thu Dec 14 22:04:03 +0000 2017,-0.4215,0.0,0.763,0.237,77
77,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Far-right Britain First's leaders charged over Belfast incidents
https://t.co/wHzgbwYzo8",Thu Dec 14 21:16:46 +0000 2017,-0.2023,0.0,0.816,0.184,78
78,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Britain First's Paul Golding and Jayda Fransen charged https://t.co/WvNlgbXMCU,Thu Dec 14 21:07:43 +0000 2017,-0.2023,0.0,0.816,0.184,79
79,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Brexit: UK in Erasmus student scheme until at least 2020 https://t.co/6sQbgpjxvo,Thu Dec 14 21:07:43 +0000 2017,0.0,0.0,1.0,0.0,80
80,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCWorld: #NetNeutrality: What is it, and why does it matter? https://t.co/tABVoaZKAL",Thu Dec 14 20:23:49 +0000 2017,0.0258,0.091,0.909,0.0,81
81,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @BBCPolitics: 🚨 NEW #BREXITCAST! @ShippersUnbound joins us with all the goss from Westminster and @bbclaurak &amp; @adamfleming are having t…,Thu Dec 14 20:10:04 +0000 2017,0.0,0.0,1.0,0.0,82
82,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @amolrajanBBC: My blog on Disney-Fox coming soon. Meantime:
1/ This is the most humble day of Rupert's life!.
2/ This deal ain't done. M…",Thu Dec 14 19:38:37 +0000 2017,0.0,0.0,1.0,0.0,83
83,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Twin babies' ashes recovered after Richmond burglary https://t.co/OklmTOydEJ,Thu Dec 14 18:21:13 +0000 2017,0.0,0.0,1.0,0.0,84
84,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCSport: Sleeping on the job?

Ronnie O'Sullivan power-napped his way to victory at the Scottish Open😴👉 https://t.co/ncBlS3OMkL https:…",Thu Dec 14 17:23:07 +0000 2017,0.0,0.0,1.0,0.0,85
85,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @BBCNewsGraphics: What's Walt Disney getting for its $52bn? https://t.co/I1TCrjzUJ8 https://t.co/2MmSvbggAx,Thu Dec 14 16:58:19 +0000 2017,0.0,0.0,1.0,0.0,86
86,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Is size important when it comes to wine glasses? https://t.co/vepaNqM1dr,Thu Dec 14 16:52:11 +0000 2017,0.2023,0.167,0.833,0.0,87
87,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @BBCSport: Four-time world time trial champion Tony Martin says the handling of Chris Froome's adverse drugs test by cycling authorities…,Thu Dec 14 16:44:20 +0000 2017,0.34,0.154,0.748,0.098,88
88,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","What a story 
https://t.co/2Bc3ySA37l",Thu Dec 14 15:56:44 +0000 2017,0.0,0.0,1.0,0.0,89
89,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Son murdered mother and set her on fire https://t.co/pqRw1DZbD4,Thu Dec 14 15:48:07 +0000 2017,-0.7783,0.0,0.507,0.493,90
90,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Iraqis win damages for 'ill-treatment' by British soldiers https://t.co/5iLH4i5FOU,Thu Dec 14 15:26:30 +0000 2017,0.2263,0.277,0.511,0.212,91
91,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Four Seasons Health Care gains breathing space https://t.co/oSBLpe5H6t,Thu Dec 14 14:53:18 +0000 2017,0.6808,0.483,0.517,0.0,92
92,@BBCNews,"<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>","Theresa May says government is ""making good progress"" with #Brexit preparations despite Commons defeat on EU Withdr… https://t.co/GQnC3TE1YL",Thu Dec 14 14:51:25 +0000 2017,0.8009,0.353,0.647,0.0,93
93,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Scottish income tax changes unveiled https://t.co/suoItjQRCt,Thu Dec 14 14:49:15 +0000 2017,0.0,0.0,1.0,0.0,94
94,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCDouglasF: ""For the majority of tax payers, the lowest taxed part of the UK""
While top earners paying more than in rest of UK.
#ScotB…",Thu Dec 14 14:35:36 +0000 2017,-0.2023,0.063,0.845,0.092,95
95,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCDouglasF: Income Tax system to be reformed

Starter rate: £11,850 - £13,850: 19p 
Basic rate frozen at 20p
Intermediate rate £24,000…",Thu Dec 14 14:35:33 +0000 2017,0.0,0.0,1.0,0.0,96
96,@BBCNews,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @ChrisMasonBBC: Income tax in Scotland is being increased to 21p for those earning over #24,000
a year, Scottish Finance Secretary Derek…",Thu Dec 14 14:35:01 +0000 2017,0.2732,0.095,0.905,0.0,97
97,@BBCNews,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Dick Whittington panto jokes 'too smutty' for children https://t.co/QgH93vW0uf,Thu Dec 14 14:27:22 +0000 2017,-0.3182,0.163,0.569,0.268,98
